text,Event,token
BREAKING: Armed man takes hostage in kosher grocery east of Paris http://t.co/PBs3sMwhLt,charliehebdo,"['breaking', 'armed', 'man', 'takes', 'hostage', 'kosher', 'grocery', 'east', 'paris', '&']"
"#CharlieHebdo killers dead, confirmed by gendarmerie.",charliehebdo,"['#', 'killers', 'dead', 'confirmed', 'gendarmerie']"
"Top French cartoonists Charb, Cabu, Wolinski, Tignous confirmed among dead in #Paris #CharlieHebdo attack. Editor is critically wounded.",charliehebdo,"['top', 'french', 'cartoonists', 'charb', 'cabu', 'wolinski', 'tignous', 'confirmed', 'among', 'dead', '#', '#', 'attack', 'editor', 'critically', 'wounded']"
"Police have surrounded the area where the #CharlieHebdo attack suspects are believed to be: http://t.co/3tGXEIX4F2
https://t.co/aBSezf2QWS",charliehebdo,"['police', 'surrounded', 'area', '#', 'attack', 'suspects', 'believed', '&', '&']"
PHOTO: Armed gunmen face police officers near #CharlieHebdo HQ in Paris http://t.co/3Jsosc7yl3 http://t.co/iOpVNO6Iq0,charliehebdo,"['photo', 'armed', 'gunmen', 'face', 'police', 'officers', 'near', '#', 'hq', 'paris', '&', '&']"
"10 people have died in a shooting at the Paris HQ of French weekly Charlie Hebdo, reports say. http://t.co/xcK8lY9IeR http://t.co/vsoysCGAbx",charliehebdo,"['10', 'people', 'died', 'shooting', 'paris', 'hq', 'french', 'weekly', 'charlie', 'hebdo', 'reports', 'say', '&', '&']"
BREAKING: Paris police say shots fired at satirical newspaper Charlie Hebdo; witness says multiple gunmen involved.,charliehebdo,"['breaking', 'paris', 'police', 'say', 'shots', 'fired', 'satirical', 'newspaper', 'charlie', 'hebdo', 'witness', 'says', 'multiple', 'gunmen', 'involved']"
Charlie Hebdo gunmen reportedly heard shouting: 'Prophet has been avenged' http://t.co/6Q9j9NkVO5 http://t.co/HxMmpdlA38,charliehebdo,"['charlie', 'hebdo', 'gunmen', 'reportedly', 'heard', 'shouting', 'prophet', 'avenged', '&', '&']"
#Banksy's response to today's incident in Paris via his official #Instagram acct http://t.co/LtJ7vgGLau #CharlieHebdo http://t.co/mxbP6olZQD,charliehebdo,"['#', 'response', 'todays', 'incident', 'paris', 'via', 'official', '#', 'acct', '&', '#', '&']"
UPDATE: Cop fatally shot as France hunts #CharlieHebdo massacre suspects http://t.co/DIw8C6Ng1s http://t.co/Rhfb6vC84P,charliehebdo,"['update', 'cop', 'fatally', 'shot', 'france', 'hunts', '#', 'massacre', 'suspects', '&', '&']"
"According to AFP ""a number"" of hostages have been freed after police raided supermarket / Hostage in #Dammartin free http://t.co/LdSF5QeCiv",charliehebdo,"['according', 'afp', 'number', 'hostages', 'freed', 'police', 'raided', 'supermarket', 'hostage', '#', 'free', '&']"
Gunmen reportedly asked for victims by NAME before shooting them #CharlieHebdo. Live updates: http://t.co/w2A2CcyPkN http://t.co/150t62a5IN,charliehebdo,"['gunmen', 'reportedly', 'asked', 'victims', 'name', 'shooting', '#', 'live', 'updates', '&', '&']"
#BREAKING - Hostage taken at kosher shop in #Paris by ‘suspect in police officer shooting' https://t.co/4yt6nafpIg http://t.co/f9N8Bjn68I,charliehebdo,"['#', 'hostage', 'taken', 'kosher', 'shop', '#', 'suspect', 'police', 'officer', 'shooting', '&', '&']"
"Three gunmen who shot dead 12 people at the HQ of #CharlieHebdo are still on the run in Paris, police say. https://t.co/3QkWHN0kgy",charliehebdo,"['three', 'gunmen', 'shot', 'dead', '12', 'people', 'hq', '#', 'still', 'run', 'paris', 'police', 'say', '&']"
BREAKING: French police tell AP suspects in #CharlieHebdo attack have taken a hostage northeast of Paris.,charliehebdo,"['breaking', 'french', 'police', 'tell', 'ap', 'suspects', '#', 'attack', 'taken', 'hostage', 'northeast', 'paris']"
"Paris police: 10 dead, 5 injured at #CharlieHebdo shooting",charliehebdo,"['paris', 'police', '10', 'dead', '5', 'injured', '#', 'shooting']"
MORE: Police surround kosher grocery store in eastern Paris where armed man is holding hostage http://t.co/cI8cztQjE6 http://t.co/BAwGOO5Wn3,charliehebdo,"['police', 'surround', 'kosher', 'grocery', 'store', 'eastern', 'paris', 'armed', 'man', 'holding', 'hostage', '&', '&']"
"BREAKING: Police official: Suspects in Charlie Hebdo massacre killed, hostage freed.",charliehebdo,"['breaking', 'police', 'official', 'suspects', 'charlie', 'hebdo', 'massacre', 'killed', 'hostage', 'freed']"
Charlie Hebdo attackers were two masked men brandishing Kalashnikovs and rocket launchers http://t.co/EX1xB40JWS http://t.co/oi7ppQYkQT,charliehebdo,"['charlie', 'hebdo', 'attackers', 'two', 'masked', 'men', 'brandishing', 'kalashnikovs', 'rocket', 'launchers', '&', '&']"
"Most compelling image I've seen to come out of horrifying events in Paris, courtesy of Banksy. #JeSuisCharlie http://t.co/EKBfbRR3HT",charliehebdo,"['compelling', 'image', 'ive', 'seen', 'come', 'horrifying', 'events', 'paris', 'courtesy', 'banksy', '#', '&']"
A person living near the #Dammartin hostage scene sent us these photos #CharlieHebdo #obs http://t.co/FKHD1fGt03,charliehebdo,"['person', 'living', 'near', '#', 'hostage', 'scene', 'sent', 'us', 'photos', '#', '#', '&']"
BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ,charliehebdo,"['breaking', '10', 'reportedly', 'shot', 'dead', 'paris', 'hq', 'french', 'weekly', 'charlie', 'hebdo', '&']"
"Nine journalists and two police officers killed in #CharlieHebdo attack, police spokesman confirms http://t.co/KtQOYWXKev",charliehebdo,"['nine', 'journalists', 'two', 'police', 'officers', 'killed', '#', 'attack', 'police', 'spokesman', 'confirms', '&']"
Chilling video allegedly of #CharlieHebdo attackers filmed from rooftop. A cry of 'Allahou Akbar' followed by shots http://t.co/G3rHLmAFtH …,charliehebdo,"['chilling', 'video', 'allegedly', '#', 'attackers', 'filmed', 'rooftop', 'cry', 'allahou', 'akbar', 'followed', 'shots', '&']"
#CharlieHebdo witness - Gunmen told me to tell the media they were Al-Qaeda in Yemen http://t.co/AyDSKynXG2 h/t @chawk228,charliehebdo,"['#', 'witness', 'gunmen', 'told', 'tell', 'media', 'alqaeda', 'yemen', '&', 'ht', '@']"
UPDATE: Gunman in kosher grocery store is demanding the release of the suspects in #CharlieHebdo shooting - Reports http://t.co/1Y123fisl2,charliehebdo,"['update', 'gunman', 'kosher', 'grocery', 'store', 'demanding', 'release', 'suspects', '#', 'shooting', 'reports', '&']"
AFP reporting at least five hostages have been taken at kosher shop in Paris - live http://t.co/hRxscrV6yW #CharlieHebdo,charliehebdo,"['afp', 'reporting', 'least', 'five', 'hostages', 'taken', 'kosher', 'shop', 'paris', 'live', '&', '#']"
BREAKING: Paris: 10 dead in attack on satirical paper that poked fun at Mohammed http://t.co/4qqVIjLP8A #CharlieHebdo http://t.co/kqQecEWknq,charliehebdo,"['breaking', 'paris', '10', 'dead', 'attack', 'satirical', 'paper', 'poked', 'fun', 'mohammed', '&', '#', '&']"
#CharlieHebdo famous cartoonists Charb and Cabu shot dead according to reports http://t.co/4wugwxfVjj http://t.co/SblgDDXGiD,charliehebdo,"['#', 'famous', 'cartoonists', 'charb', 'cabu', 'shot', 'dead', 'according', 'reports', '&', '&']"
BREAKING: Car chase under way in Paris as officers pursue #CharlieHebdo suspects down motorway http://t.co/f30TSVt1yN http://t.co/1ShVASm5ym,charliehebdo,"['breaking', 'car', 'chase', 'way', 'paris', 'officers', 'pursue', '#', 'suspects', 'motorway', '&', '&']"
[Happening Now] Shooting and hostage situation at Kosher supermarket in eastern #Paris http://t.co/TszoK14DJH http://t.co/lAYTn6mfvs,charliehebdo,"['happening', 'shooting', 'hostage', 'situation', 'kosher', 'supermarket', 'eastern', '#', '&', '&']"
"UPDATE: 12 now confirmed dead in #CharlieHebdo attack in Paris, @AP is reporting. Story: http://t.co/Jfqmha1GdV (AP) http://t.co/vDCIFHIa9U",charliehebdo,"['update', '12', 'confirmed', 'dead', '#', 'attack', 'paris', '@', 'reporting', 'story', '&', 'ap', '&']"
"#UPDATE: Car chase, hostage drama as Paris massacre suspects cornered http://t.co/G958ogOrXZ",charliehebdo,"['#', 'car', 'chase', 'hostage', 'drama', 'paris', 'massacre', 'suspects', 'cornered', '&']"
The first person killed in Charlie Hebdo attacks was Muslim police officer http://t.co/9LUWBZ9SbC http://t.co/ulTAJHywnK,charliehebdo,"['first', 'person', 'killed', 'charlie', 'hebdo', 'attacks', 'muslim', 'police', 'officer', '&', '&']"
BREAKING: At least 2 killed in #Paris hostage situation via @AFP http://t.co/C2WrcWLUZh,charliehebdo,"['breaking', 'least', '2', 'killed', '#', 'hostage', 'situation', 'via', '@', '&']"
