text,hasURL,urls,urls_expanded,hasUserURL,user_url,text_token,isNotOnlyText,Noun,Verb,Adjective,Pronoun,FirstPersonPronoun,SecondPersonPronoun,ThirdPersonPronoun,Adverb,Numeral,Conjunction_inj,Particle,Determiner,Modal,Whs,char_count,word_count,has_question,has_exclaim,has_period,capital_ratio,tweet_count,listed_count,follow_ratio,age,verified,isRumor,isRumor
BREAKING: Armed man takes hostage in kosher grocery east of Paris http://t.co/PBs3sMwhLt,1,['http://t.co/PBs3sMwhLt'],['http://htz.li/1lI'],1,http://www.haaretz.com,"['breaking', 'armed', 'man', 'takes', 'hostage', 'in', 'kosher', 'grocery', 'east', 'of', 'paris']",1,6,3,0,0,0,0,0,0,0,2,0,0,0,0,88,11,0,0,1,0.1590909090909091,4.803286368847746,3.855942946232316,5.287349290808422,2126,1,1,1
"#CharlieHebdo killers dead, confirmed by gendarmerie.",0,[],[],1,http://www.agnespoirier.org,"['charliehebdo', 'killers', 'dead', 'confirmed', 'by', 'gendarmerie']",0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,53,6,0,0,1,0.03773584905660377,3.0318122713303706,2.146128035678238,3.6729286904427223,1050,0,1,1
"Top French cartoonists Charb, Cabu, Wolinski, Tignous confirmed among dead in #Paris #CharlieHebdo attack. Editor is critically wounded.",0,[],[],1,http://t.co/EWb7m4orG8,"['top', 'french', 'cartoonists', 'charb', 'cabu', 'wolinski', 'tignous', 'confirmed', 'among', 'dead', 'in', 'paris', 'charliehebdo', 'attack', 'editor', 'is', 'critically', 'wounded']",0,3,4,8,0,0,0,0,1,0,2,0,0,0,0,136,18,0,0,1,0.07352941176470588,3.8562454007900544,2.8796692056320534,4.309651455849319,2030,0,1,1
"Police have surrounded the area where the #CharlieHebdo attack suspects are believed to be: http://t.co/3tGXEIX4F2
https://t.co/aBSezf2QWS",1,"['http://t.co/3tGXEIX4F2', 'https://t.co/aBSezf2QWS']","['http://cnn.it/1xYDHvp', 'https://amp.twimg.com/v/7d7ecf3e-0965-41ca-afa6-81397b4854db']",1,http://www.cnn.com,"['police', 'have', 'surrounded', 'the', 'area', 'where', 'the', 'charliehebdo', 'attack', 'suspects', 'are', 'believed', 'to', 'be']",1,5,5,0,0,0,0,0,0,0,0,0,2,0,1,138,14,0,0,1,0.10144927536231885,4.735814396794525,5.009820441268141,7.187664409056098,2891,1,1,1
PHOTO: Armed gunmen face police officers near #CharlieHebdo HQ in Paris http://t.co/3Jsosc7yl3 http://t.co/iOpVNO6Iq0,1,['http://t.co/3Jsosc7yl3'],['http://on.rt.com/k5ivya'],1,http://t.co/bDDyvy9DmR,"['photo', 'armed', 'gunmen', 'face', 'police', 'officers', 'near', 'charliehebdo', 'hq', 'in', 'paris']",1,7,2,0,0,0,0,0,0,0,2,0,0,0,0,117,11,0,0,1,0.1452991452991453,5.021181026715308,4.132995700692265,5.925433800688148,1975,1,1,1
"10 people have died in a shooting at the Paris HQ of French weekly Charlie Hebdo, reports say. http://t.co/xcK8lY9IeR http://t.co/vsoysCGAbx",1,['http://t.co/xcK8lY9IeR'],['http://news.sky.com/story/1403662/ten-dead-in-shooting-at-paris-magazine'],1,http://t.co/7witOoeYyy,"['10', 'people', 'have', 'died', 'in', 'a', 'shooting', 'at', 'the', 'paris', 'hq', 'of', 'french', 'weekly', 'charlie', 'hebdo', 'reports', 'say']",1,6,3,3,0,0,0,0,0,1,3,0,2,0,0,140,18,0,0,1,0.09285714285714286,5.087603973687808,4.167465028843088,6.252250666725595,2728,1,1,1
BREAKING: Paris police say shots fired at satirical newspaper Charlie Hebdo; witness says multiple gunmen involved.,0,[],[],1,http://t.co/ZYG58XZtAC,"['breaking', 'paris', 'police', 'say', 'shots', 'fired', 'at', 'satirical', 'newspaper', 'charlie', 'hebdo', 'witness', 'says', 'multiple', 'gunmen', 'involved']",0,7,5,3,0,0,0,0,0,0,1,0,0,0,0,115,16,0,0,1,0.09565217391304348,5.279130587755999,4.650453235088312,6.6748838189484445,2852,1,1,1
Charlie Hebdo gunmen reportedly heard shouting: 'Prophet has been avenged' http://t.co/6Q9j9NkVO5 http://t.co/HxMmpdlA38,1,['http://t.co/6Q9j9NkVO5'],['http://dailym.ai/1DjYgqs'],1,http://t.co/5os3efPsqo,"['charlie', 'hebdo', 'gunmen', 'reportedly', 'heard', 'shouting', 'prophet', 'has', 'been', 'avenged']",1,4,5,0,0,0,0,0,1,0,0,0,0,0,0,120,10,0,0,1,0.08333333333333333,5.099089902826428,3.88349109018893,5.9129104282600835,2367,1,1,1
#Banksy's response to today's incident in Paris via his official #Instagram acct http://t.co/LtJ7vgGLau #CharlieHebdo http://t.co/mxbP6olZQD,1,['http://t.co/LtJ7vgGLau'],['http://instagram.com/p/xkgkBSKlWu'],1,http://thenextweb.com,"['banksys', 'response', 'to', 'todays', 'incident', 'in', 'paris', 'via', 'his', 'official', 'instagram', 'acct', 'charliehebdo']",1,7,1,1,1,0,0,1,0,0,2,0,0,0,0,140,13,0,0,1,0.09285714285714286,4.6297764535369526,2.754348335711019,4.021933166477439,2311,1,1,1
UPDATE: Cop fatally shot as France hunts #CharlieHebdo massacre suspects http://t.co/DIw8C6Ng1s http://t.co/Rhfb6vC84P,1,['http://t.co/DIw8C6Ng1s'],['http://nbcnews.to/14tfnHs'],1,http://NBCNews.com,"['update', 'cop', 'fatally', 'shot', 'as', 'france', 'hunts', 'charliehebdo', 'massacre', 'suspects']",1,5,0,3,0,0,0,0,1,0,1,0,0,0,0,118,10,0,0,1,0.1440677966101695,4.654648135617599,4.396478322202103,6.301723661128768,2486,1,1,1
