text,text_token
BREAKING: Armed man takes hostage in kosher grocery east of Paris http://t.co/PBs3sMwhLt,"['breaking', 'armed', 'man', 'takes', 'hostage', 'in', 'kosher', 'grocery', 'east', 'of', 'paris']"
"#CharlieHebdo killers dead, confirmed by gendarmerie.","['charliehebdo', 'killers', 'dead', 'confirmed', 'by', 'gendarmerie']"
"Top French cartoonists Charb, Cabu, Wolinski, Tignous confirmed among dead in #Paris #CharlieHebdo attack. Editor is critically wounded.","['top', 'french', 'cartoonists', 'charb', 'cabu', 'wolinski', 'tignous', 'confirmed', 'among', 'dead', 'in', 'paris', 'charliehebdo', 'attack', 'editor', 'is', 'critically', 'wounded']"
"Police have surrounded the area where the #CharlieHebdo attack suspects are believed to be: http://t.co/3tGXEIX4F2
https://t.co/aBSezf2QWS","['police', 'have', 'surrounded', 'the', 'area', 'where', 'the', 'charliehebdo', 'attack', 'suspects', 'are', 'believed', 'to', 'be']"
PHOTO: Armed gunmen face police officers near #CharlieHebdo HQ in Paris http://t.co/3Jsosc7yl3 http://t.co/iOpVNO6Iq0,"['photo', 'armed', 'gunmen', 'face', 'police', 'officers', 'near', 'charliehebdo', 'hq', 'in', 'paris']"
"10 people have died in a shooting at the Paris HQ of French weekly Charlie Hebdo, reports say. http://t.co/xcK8lY9IeR http://t.co/vsoysCGAbx","['10', 'people', 'have', 'died', 'in', 'a', 'shooting', 'at', 'the', 'paris', 'hq', 'of', 'french', 'weekly', 'charlie', 'hebdo', 'reports', 'say']"
BREAKING: Paris police say shots fired at satirical newspaper Charlie Hebdo; witness says multiple gunmen involved.,"['breaking', 'paris', 'police', 'say', 'shots', 'fired', 'at', 'satirical', 'newspaper', 'charlie', 'hebdo', 'witness', 'says', 'multiple', 'gunmen', 'involved']"
Charlie Hebdo gunmen reportedly heard shouting: 'Prophet has been avenged' http://t.co/6Q9j9NkVO5 http://t.co/HxMmpdlA38,"['charlie', 'hebdo', 'gunmen', 'reportedly', 'heard', 'shouting', 'prophet', 'has', 'been', 'avenged']"
#Banksy's response to today's incident in Paris via his official #Instagram acct http://t.co/LtJ7vgGLau #CharlieHebdo http://t.co/mxbP6olZQD,"['banksys', 'response', 'to', 'todays', 'incident', 'in', 'paris', 'via', 'his', 'official', 'instagram', 'acct', 'charliehebdo']"
UPDATE: Cop fatally shot as France hunts #CharlieHebdo massacre suspects http://t.co/DIw8C6Ng1s http://t.co/Rhfb6vC84P,"['update', 'cop', 'fatally', 'shot', 'as', 'france', 'hunts', 'charliehebdo', 'massacre', 'suspects']"
"According to AFP ""a number"" of hostages have been freed after police raided supermarket / Hostage in #Dammartin free http://t.co/LdSF5QeCiv","['according', 'to', 'afp', 'a', 'number', 'of', 'hostages', 'have', 'been', 'freed', 'after', 'police', 'raided', 'supermarket', 'hostage', 'in', 'dammartin', 'free']"
Gunmen reportedly asked for victims by NAME before shooting them #CharlieHebdo. Live updates: http://t.co/w2A2CcyPkN http://t.co/150t62a5IN,"['gunmen', 'reportedly', 'asked', 'for', 'victims', 'by', 'name', 'before', 'shooting', 'them', 'charliehebdo', 'live', 'updates']"
#BREAKING - Hostage taken at kosher shop in #Paris by ‘suspect in police officer shooting' https://t.co/4yt6nafpIg http://t.co/f9N8Bjn68I,"['breaking', 'hostage', 'taken', 'at', 'kosher', 'shop', 'in', 'paris', 'by', 'suspect', 'in', 'police', 'officer', 'shooting']"
"Three gunmen who shot dead 12 people at the HQ of #CharlieHebdo are still on the run in Paris, police say. https://t.co/3QkWHN0kgy","['three', 'gunmen', 'who', 'shot', 'dead', '12', 'people', 'at', 'the', 'hq', 'of', 'charliehebdo', 'are', 'still', 'on', 'the', 'run', 'in', 'paris', 'police', 'say']"
BREAKING: French police tell AP suspects in #CharlieHebdo attack have taken a hostage northeast of Paris.,"['breaking', 'french', 'police', 'tell', 'ap', 'suspects', 'in', 'charliehebdo', 'attack', 'have', 'taken', 'a', 'hostage', 'northeast', 'of', 'paris']"
"Paris police: 10 dead, 5 injured at #CharlieHebdo shooting","['paris', 'police', '10', 'dead', '5', 'injured', 'at', 'charliehebdo', 'shooting']"
MORE: Police surround kosher grocery store in eastern Paris where armed man is holding hostage http://t.co/cI8cztQjE6 http://t.co/BAwGOO5Wn3,"['more', 'police', 'surround', 'kosher', 'grocery', 'store', 'in', 'eastern', 'paris', 'where', 'armed', 'man', 'is', 'holding', 'hostage']"
"BREAKING: Police official: Suspects in Charlie Hebdo massacre killed, hostage freed.","['breaking', 'police', 'official', 'suspects', 'in', 'charlie', 'hebdo', 'massacre', 'killed', 'hostage', 'freed']"
Charlie Hebdo attackers were two masked men brandishing Kalashnikovs and rocket launchers http://t.co/EX1xB40JWS http://t.co/oi7ppQYkQT,"['charlie', 'hebdo', 'attackers', 'were', 'two', 'masked', 'men', 'brandishing', 'kalashnikovs', 'and', 'rocket', 'launchers']"
