processed_text	POStags	proba	original_text
BREAKING : Armed man takes hostage in kosher grocery east of Paris http://t.co/PBs3sMwhLt	N , A N V N P A N N P ^ U	0.6086 0.9832 0.4822 0.9973 0.9819 0.9780 0.9852 0.9810 0.9235 0.5818 0.9989 0.9989 0.9981	BREAKING: Armed man takes hostage in kosher grocery east of Paris http://t.co/PBs3sMwhLt                                                                
#CharlieHebdo killers dead , confirmed by gendarmerie .	# N A , V P ^ ,	0.7572 0.5413 0.7980 0.9988 0.9810 0.9893 0.7627 0.9939	#CharlieHebdo killers dead, confirmed by gendarmerie.                                                                                                   
Top French cartoonists Charb , Cabu , Wolinski , Tignous confirmed among dead in #Paris #CharlieHebdo attack . Editor is critically wounded .	A ^ N V , ^ , ^ , ^ V P A P ^ ^ N , N V R A ,	0.9429 0.5236 0.9900 0.3360 0.9967 0.8644 0.9948 0.9043 0.9948 0.6443 0.9759 0.9830 0.8947 0.9914 0.6474 0.8114 0.5487 0.9977 0.9616 0.9952 0.9975 0.7834 0.9984	Top French cartoonists Charb, Cabu, Wolinski, Tignous confirmed among dead in #Paris #CharlieHebdo attack. Editor is critically wounded.                
Police have surrounded the area where the #CharlieHebdo attack suspects are believed to be : http://t.co/3tGXEIX4F2 https://t.co/aBSezf2QWS	^ V V D N R D ^ V V V V P V , U U	0.5557 0.9941 0.9846 0.9993 0.8847 0.9220 0.9868 0.9265 0.8443 0.8949 0.9825 0.9309 0.9817 0.9960 0.9067 0.9947 0.9977	Police have surrounded the area where the #CharlieHebdo attack suspects are believed to be: http://t.co/3tGXEIX4F2 https://t.co/aBSezf2QWS              
PHOTO : Armed gunmen face police officers near #CharlieHebdo HQ in Paris http://t.co/3Jsosc7yl3 http://t.co/iOpVNO6Iq0	N , A N N N N P ^ ^ P ^ U U	0.9901 0.9859 0.6329 0.9879 0.9015 0.6475 0.7908 0.9858 0.8528 0.9006 0.9963 0.9977 0.9955 0.9994	PHOTO: Armed gunmen face police officers near #CharlieHebdo HQ in Paris http://t.co/3Jsosc7yl3 http://t.co/iOpVNO6Iq0                                   
10 people have died in a shooting at the Paris HQ of French weekly Charlie Hebdo , reports say . http://t.co/xcK8lY9IeR http://t.co/vsoysCGAbx	$ N V V P D N P D ^ N P ^ A ^ ^ , N V , U U	0.9976 0.9988 0.9990 0.9859 0.9202 0.9925 0.9795 0.9998 0.9968 0.9967 0.7725 0.9934 0.9373 0.8467 0.9951 0.9904 0.9896 0.9257 0.8376 0.9932 0.9954 0.9988	10 people have died in a shooting at the Paris HQ of French weekly Charlie Hebdo, reports say. http://t.co/xcK8lY9IeR http://t.co/vsoysCGAbx            
BREAKING : Paris police say shots fired at satirical newspaper Charlie Hebdo ; witness says multiple gunmen involved .	N , ^ N V N V P A N ^ ^ , N V A N V ,	0.6086 0.9524 0.9981 0.7860 0.9407 0.9697 0.9954 0.9893 0.9176 0.9976 0.9917 0.9929 0.9408 0.7613 0.9952 0.9486 0.9920 0.9839 0.9981	BREAKING: Paris police say shots fired at satirical newspaper Charlie Hebdo; witness says multiple gunmen involved.                                     
Charlie Hebdo gunmen reportedly heard shouting : ' Prophet has been avenged ' http://t.co/6Q9j9NkVO5 http://t.co/HxMmpdlA38	^ ^ N R V V , , N V V V , U U	0.9964 0.9794 0.8390 0.9987 0.9989 0.9919 0.8274 0.9027 0.8824 0.9926 0.9832 0.3737 0.9356 0.9959 0.9992	Charlie Hebdo gunmen reportedly heard shouting: 'Prophet has been avenged' http://t.co/6Q9j9NkVO5 http://t.co/HxMmpdlA38                                
#Banksy's response to today's incident in Paris via his official #Instagram acct http://t.co/LtJ7vgGLau #CharlieHebdo http://t.co/mxbP6olZQD	# N P S N P ^ P D A ^ N U # U	0.4229 0.9700 0.9981 0.6583 0.9810 0.9988 0.9975 0.9926 0.9963 0.8137 0.8913 0.9910 0.9976 0.9484 0.9982	#Banksy's response to today's incident in Paris via his official #Instagram acct http://t.co/LtJ7vgGLau #CharlieHebdo http://t.co/mxbP6olZQD            
UPDATE : Cop fatally shot as France hunts #CharlieHebdo massacre suspects http://t.co/DIw8C6Ng1s http://t.co/Rhfb6vC84P	N , N N N P ^ V ^ N V U U	0.9721 0.9738 0.7872 0.6720 0.9889 0.9945 0.9959 0.7766 0.7795 0.7185 0.6172 0.9951 0.9994	UPDATE: Cop fatally shot as France hunts #CharlieHebdo massacre suspects http://t.co/DIw8C6Ng1s http://t.co/Rhfb6vC84P                                  
According to AFP " a number " of hostages have been freed after police raided supermarket / Hostage in #Dammartin free http://t.co/LdSF5QeCiv	V P ^ , D N , P N V V V P N V N , N P ^ A U	0.9980 0.9910 0.7274 0.9976 0.9932 0.9986 0.9968 0.9004 0.9916 0.9977 0.9705 0.9654 0.9755 0.8056 0.9929 0.9877 0.9696 0.7130 0.9865 0.6973 0.9239 0.9973	According to AFP "a number" of hostages have been freed after police raided supermarket / Hostage in #Dammartin free http://t.co/LdSF5QeCiv             
Gunmen reportedly asked for victims by NAME before shooting them #CharlieHebdo . Live updates : http://t.co/w2A2CcyPkN http://t.co/150t62a5IN	N R V P N P N P V O # , A N , U U	0.9305 0.9977 0.9969 0.9959 0.9915 0.9982 0.9071 0.9776 0.9707 0.8537 0.4314 0.9946 0.4870 0.9996 0.9170 0.9947 0.9992	Gunmen reportedly asked for victims by NAME before shooting them #CharlieHebdo. Live updates: http://t.co/w2A2CcyPkN http://t.co/150t62a5IN             
